product_name,brand,merchant,description,purchase_type,amount,category
Philips Water Purifier,Philips,Flipkart,classic water purifier from Philips,OFFLINE,49629.18,Home Appliances
HP Wireless Headphones,HP,Vijay Sales,portable wireless headphones from HP,OFFLINE,31906.65,Electronics
Levis Formal Trousers,Levis,Myntra,wireless formal trousers from Levis,OFFLINE,19170.81,Fashion
Godrej Interio Office Chair,Godrej Interio,Urban Ladder,wireless office chair from Godrej Interio,OFFLINE,6393.92,Furniture
JBL Smart Bulb,JBL,Flipkart,daily use smart bulb from JBL,ONLINE,4371.33,Gadgets
Samsung Smartphone,Samsung,Vijay Sales,new smartphone from Samsung,OFFLINE,56291.41,Electronics
Nilkamal Study Table,Nilkamal,Local Furniture Store,new study table from Nilkamal,ONLINE,14442.56,Furniture
HP Printer,HP,Croma,wireless printer from HP,ONLINE,5250.81,Electronics
Domino's Dessert,Domino's,Local Cafe,durable dessert from Domino's,ONLINE,3325.39,Food & Beverages
Garmin Massage Gun,Garmin,Amazon,professional massage gun from Garmin,ONLINE,2755.16,Sports & Fitness
Adidas Cotton Shirt,Adidas,Myntra,wireless cotton shirt from Adidas,OFFLINE,15919.98,Fashion
Biba Formal Trousers,Biba,Lifestyle,wireless formal trousers from Biba,OFFLINE,17928.33,Fashion
Urban Travel Accessory,Urban,Local Store,wireless travel accessory from Urban,OFFLINE,7021.8,Other
Mahindra Dash Camera,Mahindra,Bajaj Auto,classic dash camera from Mahindra,OFFLINE,12175.29,Vehicles
Biba Winter Sweater,Biba,Myntra,new winter sweater from Biba,OFFLINE,18603.08,Fashion
H&M Winter Sweater,H&M,Amazon,daily use winter sweater from H&M,OFFLINE,20359.19,Fashion
W Hoodie,W,Amazon,new hoodie from W,ONLINE,6046.02,Fashion
Biba Hoodie,Biba,Amazon,classic hoodie from Biba,OFFLINE,15867.6,Fashion
Cult Protein Shaker,Cult,Fitness Store,daily use protein shaker from Cult,OFFLINE,10247.64,Sports & Fitness
LG Printer,LG,Amazon,daily use printer from LG,ONLINE,100270.13,Electronics
McDonald's Sandwich,McDonald's,Zomato,compact sandwich from McDonald's,OFFLINE,3897.94,Food & Beverages
Faber-Castell Printer Paper,Faber-Castell,Amazon,wireless printer paper from Faber-Castell,ONLINE,23727.61,Office
Domino's Sandwich,Domino's,Local Cafe,new sandwich from Domino's,OFFLINE,1022.17,Food & Beverages
Garmin Resistance Tube Set,Garmin,Fitness Store,premium resistance tube set from Garmin,OFFLINE,29574.41,Sports & Fitness
Puma Hoodie,Puma,Shoppers Stop,new hoodie from Puma,ONLINE,18181.05,Fashion
Britannia Rice,Britannia,Reliance Smart,wireless rice from Britannia,OFFLINE,1271.92,Food & Groceries
Garmin Fitness Watch,Garmin,Amazon,compact fitness watch from Garmin,OFFLINE,26354.86,Sports & Fitness
Urban Ladder Office Chair,Urban Ladder,IKEA,professional office chair from Urban Ladder,OFFLINE,88970.73,Furniture
Cult Exercise Mat,Cult,Cult Store,classic exercise mat from Cult,OFFLINE,35740.9,Sports & Fitness
Godrej Interio Bookshelf,Godrej Interio,Pepperfry,portable bookshelf from Godrej Interio,OFFLINE,40267.88,Furniture
Decathlon Exercise Bike,Decathlon,Cult Store,professional exercise bike from Decathlon,OFFLINE,26145.9,Sports & Fitness
Acer Monitor,Acer,Samsung Store,wireless monitor from Acer,OFFLINE,114502.41,Electronics
Fitbit Gym Bench,Fitbit,Fitness Store,compact gym bench from Fitbit,OFFLINE,55840.52,Sports & Fitness
Fortune Household Essentials Pack,Fortune,Local Grocery,new household essentials pack from Fortune,ONLINE,5750.03,Food & Groceries
McDonald's Sandwich,McDonald's,Starbucks,standard sandwich from McDonald's,ONLINE,1380.3,Food & Beverages
Logitech Phone Stand,Logitech,Croma,wireless phone stand from Logitech,OFFLINE,14616.01,Gadgets
Anker Fast Charger,Anker,Amazon,compact fast charger from Anker,ONLINE,16485.61,Gadgets
HP File Folder,HP,Flipkart,classic file folder from HP,OFFLINE,22290.6,Office
Surf Excel Milk,Surf Excel,DMart,premium milk from Surf Excel,OFFLINE,3261.61,Food & Groceries
Dove Wheat Flour,Dove,Reliance Smart,durable wheat flour from Dove,ONLINE,318.47,Food & Groceries
Dell Bluetooth Speaker,Dell,Reliance Digital,new bluetooth speaker from Dell,OFFLINE,78474.26,Electronics
Cosco Sports Shoes,Cosco,Amazon,standard sports shoes from Cosco,OFFLINE,31024.29,Sports
Decathlon Basketball,Decathlon,Nike Store,wireless basketball from Decathlon,ONLINE,10710.74,Sports
KFC Snack Combo,KFC,Zomato,daily use snack combo from KFC,ONLINE,4297.9,Food & Beverages
Decathlon Sports Shoes,Decathlon,Decathlon,classic sports shoes from Decathlon,ONLINE,49331.26,Sports
Puma Handbag,Puma,Ajio,professional handbag from Puma,ONLINE,25236.27,Fashion
W Winter Sweater,W,Shoppers Stop,standard winter sweater from W,ONLINE,3249.1,Fashion
Whirlpool Vacuum Cleaner,Whirlpool,Flipkart,premium vacuum cleaner from Whirlpool,OFFLINE,15459.85,Home Appliances
Staedtler Whiteboard,Staedtler,Reliance Smart,durable whiteboard from Staedtler,ONLINE,1402.88,Office
Haier Refrigerator,Haier,Flipkart,new refrigerator from Haier,OFFLINE,76035.75,Home Appliances
Starbucks Meal Order,Starbucks,Local Cafe,wireless meal order from Starbucks,OFFLINE,4098.44,Food & Beverages
Canon Pen Set,Canon,Local Stationery,daily use pen set from Canon,OFFLINE,13912.79,Office
Everyday Gift Item,Everyday,Local Store,wireless gift item from Everyday,OFFLINE,3495.27,Other
Hyundai Car Service Package,Hyundai,Local Auto Store,portable car service package from Hyundai,ONLINE,41976.82,Vehicles
Domino's Cafe Breakfast,Domino's,Starbucks,classic cafe breakfast from Domino's,ONLINE,413.43,Food & Beverages
Surf Excel Bread,Surf Excel,Local Grocery,new bread from Surf Excel,ONLINE,5995.51,Food & Groceries
Prime Gift Item,Prime,Flipkart,durable gift item from Prime,ONLINE,565.18,Other
Samsung Monitor,Samsung,Reliance Digital,premium monitor from Samsung,ONLINE,94746.93,Electronics
Classmate Printer Paper,Classmate,Local Stationery,daily use printer paper from Classmate,OFFLINE,3970.19,Office
Yonex Gym Gloves,Yonex,Nike Store,professional gym gloves from Yonex,ONLINE,39619.52,Sports
Logitech Power Bank,Logitech,Reliance Digital,premium power bank from Logitech,OFFLINE,417.04,Gadgets
Amul Bread,Amul,Zepto,standard bread from Amul,OFFLINE,4996.55,Food & Groceries
Cosco Sports Shoes,Cosco,Amazon,durable sports shoes from Cosco,ONLINE,14879.75,Sports
Fitbit Pull Up Bar,Fitbit,Decathlon,premium pull up bar from Fitbit,ONLINE,55409.81,Sports & Fitness
Pilot Pen Set,Pilot,Reliance Smart,premium pen set from Pilot,OFFLINE,18378.76,Office
IFB Air Conditioner,IFB,Vijay Sales,durable air conditioner from IFB,ONLINE,75134.11,Home Appliances
Kokuyo Ink Cartridge,Kokuyo,Local Stationery,compact ink cartridge from Kokuyo,ONLINE,11888.27,Office
Domino's Meal Order,Domino's,Starbucks,durable meal order from Domino's,ONLINE,1820.8,Food & Beverages
Haier Air Cooler,Haier,Reliance Digital,daily use air cooler from Haier,OFFLINE,75192.8,Home Appliances
ASUS Tablet,ASUS,Reliance Digital,new tablet from ASUS,OFFLINE,111909.75,Electronics
Logitech Charging Cable,Logitech,Croma,wireless charging cable from Logitech,OFFLINE,420.89,Gadgets
Toyota Brake Pads,Toyota,Tata Motors,compact brake pads from Toyota,ONLINE,1660.65,Vehicles
Canon File Folder,Canon,Reliance Smart,premium file folder from Canon,ONLINE,6445.97,Office
Adidas Handbag,Adidas,Amazon,standard handbag from Adidas,ONLINE,11788.86,Fashion
Philips Room Heater,Philips,Croma,portable room heater from Philips,ONLINE,6706.52,Home Appliances
Adidas Kurta,Adidas,Myntra,classic kurta from Adidas,OFFLINE,19431.67,Fashion
Kokuyo Desk Organizer,Kokuyo,Amazon,portable desk organizer from Kokuyo,OFFLINE,12078.87,Office
Bosch Microwave Oven,Bosch,Amazon,daily use microwave oven from Bosch,OFFLINE,14782.31,Home Appliances
LG Laptop,LG,Reliance Digital,premium laptop from LG,ONLINE,2061.99,Electronics
Fitbit Workout Gloves,Fitbit,Amazon,durable workout gloves from Fitbit,ONLINE,10554.88,Sports & Fitness
boAt Smart Bulb,boAt,Mi Store,classic smart bulb from boAt,ONLINE,15870.94,Gadgets
Canon Document Scanner,Canon,Reliance Smart,durable document scanner from Canon,ONLINE,8331.29,Office
Britannia Wheat Flour,Britannia,Reliance Smart,standard wheat flour from Britannia,ONLINE,586.37,Food & Groceries
Portronics Router,Portronics,Amazon,premium router from Portronics,ONLINE,5581.54,Gadgets
McDonald's Meal Order,McDonald's,Local Cafe,portable meal order from McDonald's,ONLINE,293.66,Food & Beverages
Noise Phone Stand,Noise,Croma,durable phone stand from Noise,ONLINE,12761.47,Gadgets
Tata Household Essentials Pack,Tata,Blinkit,daily use household essentials pack from Tata,OFFLINE,1213.75,Food & Groceries
Boldfit Pull Up Bar,Boldfit,Decathlon,professional pull up bar from Boldfit,OFFLINE,12278.69,Sports & Fitness
OnePlus Tablet,OnePlus,Reliance Digital,compact tablet from OnePlus,OFFLINE,89225.46,Electronics
Allen Solly Formal Trousers,Allen Solly,Amazon,classic formal trousers from Allen Solly,ONLINE,19773.43,Fashion
IFB Water Purifier,IFB,Amazon,classic water purifier from IFB,ONLINE,53263.06,Home Appliances
JBL Usb Microphone,JBL,Mi Store,daily use USB microphone from JBL,OFFLINE,7345.2,Gadgets
Canon Notebook,Canon,Office Depot,wireless notebook from Canon,ONLINE,8076.34,Office
Nilkamal Recliner,Nilkamal,Local Furniture Store,professional recliner from Nilkamal,ONLINE,65944.12,Furniture
Puma Dumbbells,Puma,Decathlon,compact dumbbells from Puma,ONLINE,45939.14,Sports
Domino's Burger Meal,Domino's,Starbucks,portable burger meal from Domino's,ONLINE,850.59,Food & Beverages
KFC Pizza,KFC,Local Cafe,classic pizza from KFC,ONLINE,4223.73,Food & Beverages
Dove Shampoo,Dove,Zepto,new shampoo from Dove,OFFLINE,203.18,Food & Groceries
Nestle Shampoo,Nestle,Zepto,new shampoo from Nestle,ONLINE,5289.23,Food & Groceries
Cosco Yoga Mat,Cosco,Decathlon,daily use yoga mat from Cosco,ONLINE,73357.19,Sports
Everyday Miscellaneous Purchase,Everyday,Local Store,portable miscellaneous purchase from Everyday,ONLINE,9645.48,Other
Philips Electric Kettle,Philips,Croma,new electric kettle from Philips,ONLINE,66985.45,Home Appliances
Kokuyo Office Supplies Pack,Kokuyo,Office Depot,premium office supplies pack from Kokuyo,ONLINE,6845.72,Office
Portronics Fitness Band,Portronics,Reliance Digital,professional fitness band from Portronics,ONLINE,9580.44,Gadgets
Aashirvaad Toothpaste,Aashirvaad,Blinkit,classic toothpaste from Aashirvaad,ONLINE,2487.94,Food & Groceries
Starbucks Soft Drink,Starbucks,Swiggy,compact soft drink from Starbucks,OFFLINE,1777.08,Food & Beverages
Local Brand Decor Accessory,Local Brand,Amazon,new decor accessory from Local Brand,OFFLINE,3018.52,Other
Mi Wireless Charger,Mi,Mi Store,daily use wireless charger from Mi,OFFLINE,12262.87,Gadgets
LG Smartwatch,LG,Samsung Store,wireless smartwatch from LG,ONLINE,43788.7,Electronics
Yonex Treadmill,Yonex,Flipkart,compact treadmill from Yonex,ONLINE,56024.75,Sports
Haldiram's Biryani,Haldiram's,McDonald's,compact biryani from Haldiram's,ONLINE,2858.08,Food & Beverages
